time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
10653,-0.57,0.00,-1.84,-1.03,-0.34,1.49,1.38,0.23,2.30,2.53,2.99,0.34,0.69,1.49,5.29,0.80,0
10770,-0.57,0.00,-1.72,-1.26,-0.34,1.38,1.26,-0.11,2.53,2.41,2.53,0.69,0.69,1.38,4.71,0.92,0
10887,-0.11,0.11,-1.95,-1.49,0.00,1.61,1.26,0.46,2.41,2.18,2.99,0.34,0.69,1.15,4.71,1.03,0
11004,-0.23,0.11,-2.30,-1.26,-0.46,1.49,1.38,0.57,2.18,2.99,2.53,0.23,0.69,1.03,5.40,0.92,0
11121,-0.34,0.23,-1.72,-1.26,0.00,1.49,1.38,0.57,2.41,2.41,3.10,0.69,0.69,1.03,4.83,0.92,0
11237,-0.11,0.23,-2.07,-1.38,-0.23,1.61,1.72,0.46,2.30,2.53,2.87,0.11,0.57,1.15,4.94,0.92,0
11354,-0.34,-0.23,-1.84,-1.15,-0.57,1.61,1.38,0.46,2.07,2.41,3.10,0.57,0.34,1.15,5.06,0.80,0
11471,-0.11,0.57,-1.49,-1.03,0.11,1.49,1.38,0.34,1.95,2.30,2.76,1.03,0.23,1.15,4.71,1.38,0
11588,-0.34,-0.57,-1.95,-1.26,-0.57,1.72,1.72,0.23,2.41,2.53,2.87,0.11,1.26,1.26,5.29,1.03,0
11705,-0.34,0.11,-1.84,-1.38,1.72,1.49,1.72,0.34,2.41,2.76,2.64,0.23,0.11,1.49,4.60,1.15,0
11821,-0.11,-0.46,-1.72,-1.26,0.34,1.72,1.49,0.00,2.53,2.41,3.45,0.00,0.46,0.92,5.29,1.26,0
11938,-0.11,-0.11,-1.72,-1.15,-0.46,1.49,1.49,0.23,1.72,2.41,2.99,0.46,0.57,1.26,4.71,0.92,0
12055,-0.34,-0.34,-2.07,-1.03,-0.34,1.49,1.61,0.57,2.07,2.53,2.76,0.80,0.69,1.15,5.17,1.15,0
12172,-0.57,0.23,-2.07,-1.26,-0.23,1.26,1.49,0.11,2.53,2.30,2.87,0.23,0.23,1.03,5.06,0.92,0
12289,0.00,0.11,-1.61,-1.38,-0.11,1.72,1.61,0.57,2.07,2.53,2.76,0.46,0.34,1.26,5.06,0.92,0
12406,-0.34,-0.11,-1.84,-1.03,-0.11,1.95,1.38,0.11,2.30,2.41,2.99,0.57,0.69,1.49,5.40,0.80,0
12522,-0.57,0.11,-1.95,-1.38,-0.34,1.38,1.72,0.69,2.30,2.53,2.87,0.23,0.80,1.15,4.94,1.03,0
12639,-0.46,0.11,-1.84,-1.84,-0.11,1.72,1.84,0.34,2.18,2.64,2.87,0.57,0.46,1.49,4.94,1.26,0
12756,-0.57,-0.11,-2.07,-1.49,-0.57,1.95,1.61,0.46,2.41,2.53,2.76,0.23,0.57,1.49,5.17,1.26,0
12873,-0.34,0.11,-1.95,-1.38,-0.11,1.49,1.61,0.00,2.18,2.41,2.87,0.80,0.80,0.92,5.06,1.03,0
12990,-0.57,-0.23,-2.07,-1.49,-0.34,1.61,1.49,0.57,2.41,2.41,3.45,0.46,0.92,0.80,4.83,1.03,0
13106,-0.46,0.23,-1.61,-1.49,-0.34,1.84,1.38,0.11,2.30,2.53,2.76,0.57,0.57,1.03,4.83,1.03,0
13223,-0.57,0.00,-2.07,-1.03,-0.23,1.61,1.61,0.00,2.07,2.41,3.10,0.46,0.00,1.15,5.06,0.92,0
13340,-0.92,0.00,-1.95,-1.38,-0.11,1.61,1.38,0.34,2.30,2.53,2.99,0.34,0.92,1.03,5.29,1.26,0
13457,-0.34,-0.34,-1.72,-0.80,-0.11,1.38,1.38,0.23,2.30,2.53,2.87,0.34,0.57,0.92,5.06,1.26,0
13574,-0.46,0.11,-1.95,-1.26,-0.46,1.49,1.38,0.34,2.30,2.41,2.87,0.57,0.92,0.92,5.06,1.15,0
13691,-0.46,-0.34,-1.84,-1.61,-0.34,1.49,1.84,0.46,2.07,2.30,2.64,0.23,0.11,1.15,5.06,1.03,0
13807,-0.46,0.00,-1.61,-1.15,-0.11,1.84,1.61,0.34,2.30,2.30,2.87,0.34,1.03,1.03,5.06,0.92,0
13924,-0.34,0.23,-2.07,-1.15,-0.80,1.61,1.26,0.80,2.07,2.53,2.87,0.34,0.57,0.92,5.40,0.92,0
14041,-0.34,0.34,-1.95,-0.69,-0.57,1.61,1.49,0.34,2.07,2.53,2.99,0.34,0.57,1.26,4.71,1.26,0
14158,-0.34,0.00,-1.95,-1.15,-0.57,1.84,1.38,0.34,2.64,2.41,2.99,0.46,0.92,1.38,5.17,1.26,0
14275,-0.80,0.11,-2.07,-1.49,-0.34,1.61,1.49,0.57,2.30,2.30,2.76,0.23,0.69,1.26,5.06,1.03,0
14391,0.00,-0.46,-1.61,-1.15,-0.11,1.38,1.49,0.23,1.95,2.18,2.87,0.34,0.46,1.61,5.06,1.03,0
14508,-0.92,-0.11,-1.95,-1.49,-0.57,1.72,1.72,0.00,2.30,2.53,3.22,0.23,0.92,1.03,5.29,1.03,0
14625,-0.11,0.00,-1.72,-1.15,-0.23,1.95,1.49,0.23,2.53,2.76,2.99,0.23,0.46,0.92,4.71,0.80,0
14742,-0.57,0.11,-1.72,-0.92,-0.23,1.49,1.61,0.23,2.41,2.53,2.99,0.23,0.92,1.15,5.29,1.26,0
14859,-0.69,-0.11,-1.84,-1.15,-0.46,1.49,1.72,0.46,2.30,2.64,3.22,0.57,0.57,1.49,5.06,1.03,0
14976,-0.46,0.23,-1.84,-1.03,-0.80,1.26,1.03,0.34,2.64,2.64,2.76,0.23,0.69,1.03,4.83,1.38,0
15092,-0.46,-0.11,-1.84,-1.26,-0.23,1.38,1.38,0.57,2.41,2.41,3.33,0.11,1.15,1.26,5.06,1.03,0
15209,-0.46,-0.34,-1.84,-1.38,-0.46,1.84,1.38,0.69,1.95,2.07,2.76,0.23,0.23,0.80,4.94,0.92,0
15326,-0.34,0.00,-1.84,-1.26,-0.34,1.61,1.61,0.11,2.87,2.64,2.87,0.46,1.03,1.38,5.40,1.15,0
15443,-0.57,0.23,-1.72,-1.26,-0.23,1.61,2.18,-1.03,1.72,2.41,3.68,-5.29,0.69,2.30,6.67,-7.24,1
15560,11.84,6.09,-10.12,54.14,2.18,1.15,27.01,-131.10,-0.46,-44.14,20.69,1.26,1.72,7.82,-0.46,11.61,0
15675,-5.40,-1.15,12.53,-0.57,-8.28,13.68,6.44,6.09,-0.11,-6.67,5.86,-3.22,5.40,3.22,4.71,-5.52,0
15792,-4.60,-3.10,-2.07,-3.10,2.18,3.79,-2.64,-5.75,7.24,1.26,0.00,-5.17,-1.26,1.72,8.74,-5.98,0
15909,1.38,0.80,-2.99,-2.64,0.23,3.45,0.80,1.26,3.33,2.76,1.38,0.34,1.26,0.57,6.09,-1.03,0
16026,-2.76,-2.07,-1.38,-1.95,-1.49,-0.11,1.95,-0.46,2.41,4.48,2.76,0.46,-0.69,-1.38,4.37,-1.03,0
16143,1.38,0.00,-0.92,0.34,-0.23,1.61,1.03,1.84,0.92,2.07,2.87,0.69,0.80,0.46,3.45,-1.38,0
16259,-1.15,-1.26,-1.84,-1.61,-1.49,1.38,1.84,0.46,1.95,2.76,6.78,0.57,1.61,0.57,3.68,-0.80,0
16376,-0.69,-0.80,-1.38,-1.03,-0.11,2.18,1.15,1.15,1.72,2.30,2.18,0.11,0.69,1.26,5.52,0.69,0
16493,-0.46,-0.46,-2.30,-0.92,0.23,2.64,0.92,1.03,2.53,4.25,2.07,0.57,0.46,1.72,4.48,0.69,0
16610,-1.26,0.46,-2.07,-0.92,-0.80,1.72,1.38,0.11,2.41,2.53,1.95,0.00,0.11,0.80,5.40,-0.23,0
16727,-0.92,-0.23,-1.84,-1.26,-0.69,1.03,1.95,0.11,3.45,2.41,3.45,0.23,1.72,1.26,4.71,-0.80,0
16843,-0.23,-0.46,-1.84,-0.80,-0.11,0.92,1.72,0.34,2.41,2.30,2.87,-0.34,1.03,0.92,5.29,-0.57,0
16960,-0.46,0.00,-2.07,-1.38,-0.57,1.84,1.49,0.46,2.30,2.64,2.99,0.11,0.46,1.84,4.83,0.11,0
17077,-0.69,0.34,-1.84,-1.15,-0.57,1.95,1.38,0.57,1.72,3.10,2.53,0.23,0.80,1.15,5.29,0.23,0
17194,-0.69,0.23,-1.95,-1.15,-0.46,1.95,1.26,0.46,2.07,2.41,2.99,0.34,0.23,1.26,5.17,-0.11,0
17311,-0.46,0.11,-1.38,-1.26,-0.23,1.15,1.84,0.80,2.30,2.41,2.76,0.34,1.15,1.15,5.17,0.11,0
17428,-0.57,-0.11,-1.84,-1.26,-0.34,1.61,1.26,0.80,2.30,2.53,3.22,0.00,0.69,1.26,5.52,0.46,0
17544,-0.92,0.00,-1.72,-0.92,-0.92,1.72,1.15,0.57,2.18,2.64,2.76,0.11,0.46,1.15,4.71,-0.46,0
17661,-0.46,0.00,-1.72,-1.15,-0.23,1.61,1.49,0.69,2.53,2.53,2.99,-0.11,0.23,1.26,4.94,-0.23,0
17778,-0.46,-0.11,-1.84,-1.26,-0.34,1.61,1.26,0.46,2.53,2.30,2.76,0.11,0.46,1.03,5.29,-0.11,0
17895,-0.34,-0.23,-1.84,-0.92,-0.23,1.49,1.61,0.46,2.30,2.07,2.76,0.46,0.34,1.03,4.71,-0.57,0
18012,-0.57,0.00,-1.84,-1.38,-0.23,1.95,1.61,0.46,2.07,2.53,2.64,0.11,0.34,1.38,4.94,0.11,0
18128,-0.46,0.00,-1.95,-1.03,-0.69,1.95,1.95,-0.46,2.41,2.41,7.01,-29.77,0.00,9.43,14.25,-130.81,1
18245,3.79,17.24,16.21,106.44,-1.26,-20.23,40.58,-12.87,9.89,-29.43,67.48,-3.10,-7.24,38.62,-7.59,-1.03,0
18362,-6.67,0.23,-4.25,1.72,0.23,1.15,-2.30,-2.18,-5.06,-6.21,4.14,-5.98,1.38,1.15,1.38,-4.83,0
18479,-3.10,-3.22,-6.55,-4.71,-2.30,13.91,-4.25,-0.92,3.22,2.53,7.47,-10.23,1.84,0.00,6.55,2.07,0
18596,0.23,-1.26,-0.69,0.23,2.07,-0.46,-0.69,-1.38,4.25,5.52,2.18,0.00,0.69,7.93,3.68,-0.34,0
18713,-4.48,0.92,1.03,-0.69,-6.55,2.76,3.10,0.80,2.76,3.91,2.99,0.00,2.41,0.46,3.68,1.61,0
18829,-2.18,0.69,0.11,-0.34,-1.15,1.61,0.92,2.41,2.41,3.68,2.53,-0.11,1.26,1.95,3.33,1.15,0
18946,-0.11,0.34,-1.61,-1.26,-0.57,1.38,2.30,-0.23,0.80,3.10,4.48,0.69,0.11,1.84,8.28,1.49,0
19063,-0.57,1.15,-3.10,-0.69,-1.15,1.84,1.38,1.38,2.18,2.18,2.87,1.38,1.95,2.41,5.75,1.26,0
19180,0.34,-0.57,-1.72,-1.03,-0.46,1.84,2.64,0.92,3.33,3.10,2.53,0.80,1.03,1.15,4.60,1.72,0
19297,-0.23,-0.69,-1.72,-1.49,-0.92,2.53,0.92,0.34,1.95,2.30,2.76,0.69,1.15,1.61,4.94,0.23,0
19413,-1.26,-0.23,-2.07,-1.26,-1.38,1.26,1.84,0.23,3.56,2.64,2.41,0.57,1.72,0.34,5.52,-0.34,0
19530,0.34,-0.57,-1.61,-1.03,-0.57,1.15,1.61,-0.11,2.41,2.30,3.10,0.11,-0.11,0.69,4.94,0.92,0
19647,-0.69,0.00,-1.72,-1.38,-0.80,2.30,1.38,0.11,2.07,2.30,2.18,0.46,0.69,1.61,4.83,0.80,0
19764,-0.69,-0.46,-1.84,-0.69,-0.57,1.61,1.49,0.92,1.95,2.30,2.64,0.34,0.11,0.80,4.83,0.57,0
19881,-0.46,-0.11,-1.84,-0.69,-0.57,1.38,1.38,0.11,2.18,2.64,2.53,0.92,0.57,1.03,5.40,0.92,0
19998,-0.46,0.11,-1.84,-1.49,-0.11,2.07,1.49,0.69,2.07,2.53,2.87,0.57,1.26,1.03,4.94,0.92,0
20114,-0.57,-0.11,-1.49,-0.92,-0.23,1.72,1.72,0.46,1.95,2.30,3.22,0.11,0.57,1.84,5.06,0.80,0
20231,-0.23,0.46,-2.18,-1.03,-0.23,1.84,1.26,-0.11,2.07,2.64,2.99,0.69,0.34,1.26,5.29,1.15,0
20348,-0.23,0.23,-1.95,-1.49,0.11,1.72,1.15,0.11,2.30,2.30,2.76,0.69,0.69,1.26,5.17,0.57,0
20465,-0.34,-0.11,-1.95,-1.15,-0.57,1.49,1.49,0.34,2.07,2.41,2.76,0.69,0.69,1.26,4.83,0.57,0
20582,-0.46,0.57,-1.61,-1.72,-0.34,1.72,1.38,-0.34,2.30,2.76,2.76,-0.34,0.80,1.49,4.83,-0.23,0
20698,-0.69,-0.34,-0.23,-0.11,-0.57,4.02,14.71,-20.58,-4.25,1.72,-28.62,4.94,-5.52,59.77,-50.23,62.53,0
20815,2.18,10.35,30.58,-30.46,-11.84,-16.90,29.31,2.07,-0.11,-2.87,13.22,-4.71,0.00,19.77,39.89,-3.79,0
20932,26.67,10.00,-0.00,-1.49,28.51,4.25,12.76,-1.95,7.70,3.22,0.80,-4.60,-1.49,-1.95,5.40,-8.05,0
21047,-1.84,4.94,-2.07,0.00,2.87,-0.80,-8.16,0.23,3.68,9.89,-77.36,3.56,-2.76,4.02,6.67,0.92,0
21164,0.34,-1.03,-1.72,-2.07,2.87,-1.03,0.57,-0.34,2.18,-1.15,2.07,-0.57,2.87,-18.62,6.55,0.23,0
21281,1.26,0.00,1.26,-0.23,-2.76,3.56,2.53,0.92,-2.07,2.18,2.30,-0.23,-3.45,3.33,4.83,2.18,0
21398,0.11,0.11,-1.15,-0.57,0.34,2.07,2.41,0.92,3.79,2.53,3.45,0.92,-1.03,1.61,5.06,1.15,0
21514,0.57,0.34,0.00,-1.49,-0.69,1.72,0.11,1.03,2.64,2.30,3.79,0.69,-0.34,0.23,4.71,1.84,0
21631,-0.23,0.23,-1.38,0.11,-0.23,2.41,0.92,1.84,2.87,2.76,3.10,1.38,1.38,1.95,4.94,1.61,0
21748,-1.15,0.00,-2.30,-0.23,0.00,2.07,1.38,0.57,0.92,2.87,2.41,0.34,0.23,0.34,5.17,1.84,0
21865,-0.11,0.46,-1.61,-0.57,-0.69,1.84,1.72,0.00,2.07,2.30,3.56,0.23,0.80,1.38,5.52,1.03,0
21982,-0.34,-0.46,-1.61,-1.26,0.11,1.95,1.72,0.34,2.76,2.64,3.45,0.11,0.11,1.38,4.83,1.15,0
22098,-0.11,-0.80,-1.49,-1.38,-0.80,1.84,1.15,0.23,2.07,2.53,2.99,0.23,1.49,0.80,5.40,1.03,0
22215,-0.57,0.23,-2.07,-1.03,-0.80,1.95,1.38,0.46,2.18,2.07,2.87,0.57,0.57,1.03,4.60,1.03,0
22332,-0.34,0.00,-1.84,-0.23,-0.23,1.95,1.61,0.46,1.95,2.18,2.87,0.23,0.57,1.38,4.94,0.80,0
22449,-0.11,-0.46,-2.07,-0.92,-0.23,1.61,1.61,0.34,2.18,2.30,3.10,0.34,0.11,1.03,5.63,1.61,0
22566,-0.46,-0.34,-1.84,-1.15,-0.34,2.07,1.38,0.46,1.95,2.41,2.76,0.46,0.57,1.26,5.17,1.49,0
22682,-0.46,0.23,-1.84,-0.80,-0.34,1.84,1.49,0.69,2.30,2.87,2.41,1.03,0.57,1.38,5.40,1.72,0
22799,-0.23,0.34,-1.84,-1.26,-0.57,1.84,1.72,-0.57,2.18,2.64,3.22,-3.79,0.69,1.49,4.94,0.69,0
22916,-3.91,-14.48,-30.69,-65.98,12.53,17.13,-56.33,-81.04,14.48,-8.51,-28.62,57.24,9.77,-8.05,50.69,-0.92,1
23033,-14.02,15.52,-1.84,-5.86,-29.77,58.28,-4.25,-2.87,-3.56,0.46,-3.10,-17.93,-0.69,6.67,2.18,-0.23,0
23150,6.78,1.38,13.33,-4.48,1.72,2.64,0.57,-7.47,3.68,0.69,6.09,0.11,0.23,0.00,1.49,-14.14,0
23267,0.46,-0.80,-0.69,4.71,-1.61,1.72,-1.26,1.84,1.03,3.33,5.40,1.38,1.84,2.53,1.38,-1.95,0
23383,-1.84,-1.84,-10.00,-1.61,0.80,5.29,1.72,-0.11,-0.92,3.45,3.68,0.11,1.03,-9.54,7.59,-0.57,0
23500,-0.11,1.03,-1.95,0.69,-3.33,0.11,3.56,0.34,-1.26,1.03,1.49,0.46,0.34,0.23,4.48,-0.34,0
23617,0.57,0.23,-1.61,-1.03,-0.92,2.64,2.87,0.34,1.84,2.76,2.87,0.80,0.11,1.03,4.71,0.69,0
23734,0.00,0.34,-0.80,-1.61,-0.34,2.41,2.53,0.46,1.61,2.41,3.91,1.61,0.11,0.69,6.78,1.84,0
23851,0.11,-1.26,-1.95,-1.95,0.11,2.53,1.84,1.15,2.30,3.68,1.72,0.57,1.84,1.72,4.60,1.49,0
23967,-0.23,0.80,-1.95,-1.15,-0.34,2.07,1.72,0.34,1.95,2.99,2.18,-0.46,-0.11,0.80,5.06,0.69,0
24084,0.00,-0.11,-1.95,-1.61,-0.34,1.84,1.72,-0.11,2.53,2.41,2.64,0.11,0.34,0.23,4.83,1.15,0
24201,-0.80,0.00,-1.84,-1.03,-1.49,1.38,1.72,0.34,2.30,2.30,2.76,-0.11,0.57,0.34,4.60,1.15,0
24318,-0.57,0.23,-3.68,-1.61,-0.11,1.95,1.03,0.23,2.41,1.84,2.41,0.00,1.15,0.34,5.06,1.03,0
24435,-0.11,0.23,-2.07,-1.15,-0.57,2.30,1.26,-0.23,1.95,2.41,2.64,0.11,0.34,1.49,4.94,0.80,0
24552,-0.80,0.11,-1.84,-1.49,-0.92,1.72,1.26,0.11,2.30,2.30,2.76,0.11,0.57,1.15,4.71,1.38,0
24668,-0.34,-0.57,-1.95,-1.26,-0.34,1.72,1.49,0.23,2.18,2.64,2.76,0.23,0.46,1.15,4.94,0.69,0
24785,-0.23,0.34,-1.84,-1.03,-0.34,1.84,1.61,0.00,2.18,2.53,2.41,0.11,0.34,0.69,5.40,0.92,0
24902,-0.46,-0.11,-1.84,-1.26,-0.69,2.18,1.26,-0.23,1.95,2.99,2.18,-0.11,1.03,1.15,4.94,0.92,0
25019,-0.69,0.11,-1.95,-1.26,-0.34,1.95,1.61,0.34,2.41,2.76,2.41,-0.11,0.69,0.69,5.17,0.57,0
25136,-0.11,-0.11,-1.95,-1.49,-0.23,1.95,2.07,-1.49,2.30,7.24,10.35,8.74,-4.14,8.97,26.09,-94.95,1
25252,-31.04,-45.41,-0.80,13.79,0.57,-9.20,8.62,-19.08,7.13,-11.84,62.30,-14.37,0.69,5.17,-11.95,-21.38,0
25369,4.37,-6.44,-2.64,-4.71,-8.28,-1.15,-4.60,0.69,1.72,5.06,5.63,-0.92,1.61,-1.95,2.76,-6.90,0
25486,-4.83,-3.33,-2.30,0.92,-2.99,2.41,-2.53,2.30,8.39,1.61,4.83,-6.44,0.46,-0.23,10.00,-7.24,0
25603,-1.49,-1.38,-0.34,-1.49,0.57,-1.61,-0.11,1.38,2.76,2.64,-0.57,-0.92,1.49,-0.11,0.00,-2.41,0
