day,time,snsr_11,snsr_12,snsr_21,snsr_22
0,00:09:17.76,0.57,0.11,0.23,0.34
0,00:09:17.78,0.69,-0.23,0.57,-0.23
0,00:09:17.81,0.8,-0.11,0.69,0
0,00:09:17.83,0.69,-0.11,0.57,0
0,00:09:17.85,0.92,0,0.69,0
0,00:09:17.87,0.69,0.11,0.34,0
0,00:09:17.89,0.69,0,0.46,0
0,00:09:17.91,0.69,0.11,1.15,0
0,00:09:17.93,0.8,-0.11,0.57,-0.11
0,00:09:17.95,0.69,-0.69,0.57,0.23
0,00:09:17.97,0.69,-0.11,0.46,0.23
0,00:09:17.99,0.8,-0.23,0.69,-0.23
0,00:09:18.01,0.8,-0.11,0.34,0.23
0,00:09:18.04,0.69,-0.11,0.8,-0.23
0,00:09:18.06,0.69,-0.34,0.92,-0.23
0,00:09:18.08,0.92,-0.23,0.34,0.11
0,00:09:18.10,0.8,0,0.46,-0.23
0,00:09:18.12,0.92,0.23,0.8,-0.11
0,00:09:18.14,0.69,0,0.69,0
0,00:09:18.16,0.92,-0.11,0.46,0.34
0,00:09:18.18,0.34,-0.34,1.15,0.11
0,00:09:18.20,0.69,0.11,0.8,0.11
0,00:09:18.23,1.03,-0.11,0.69,0
0,00:09:18.25,0.57,0,0.34,0
0,00:09:18.27,0.11,-0.46,0.69,0.11
0,00:09:18.29,0.57,0,0.92,0
0,00:09:18.31,0.8,0.11,0.46,0
0,00:09:18.33,0.34,0,0.69,0
0,00:09:18.35,0.46,-0.23,0.46,0.34
0,00:09:18.37,0.34,-0.11,0.92,0
0,00:09:18.39,0.57,-0.34,0.46,0
0,00:09:18.42,0.57,-0.11,0.69,-0.23
0,00:09:18.44,0.92,-0.34,1.15,0.23
0,00:09:18.46,1.03,-0.23,0.34,0
0,00:09:18.48,0.69,0.11,1.03,0.11
0,00:09:18.50,0.8,-0.46,0.57,0
0,00:09:18.52,0.46,-0.34,0.34,-0.23
0,00:09:18.54,0.69,-0.34,0.69,0.23
0,00:09:18.56,0.69,-0.46,0.69,0
0,00:09:18.58,0.69,-0.34,0.92,-0.23
0,00:09:18.60,0.69,0,0.46,0.11
0,00:09:18.62,0.8,-1.84,0.69,0.34
0,00:09:18.65,0.23,0.11,0.46,-0.34
0,00:09:18.67,0.34,-0.11,0.46,-0.11
0,00:09:18.69,0.46,-0.23,1.03,0
0,00:09:18.71,0.46,-0.11,0.57,-0.23
0,00:09:18.73,0.92,0,0.46,-0.11
0,00:09:18.75,0.92,-0.23,0.57,0.11
0,00:09:18.77,0.57,-0.23,0.57,0
0,00:09:18.79,0.8,-0.11,0.57,0
0,00:09:18.82,0.57,0.11,0.8,-0.11
0,00:09:18.84,0.34,0.11,0.57,0.11
0,00:09:18.86,0.69,-0.34,0.57,-0.11
0,00:09:18.88,0.8,0.34,0.69,0.23
0,00:09:18.90,0.8,-0.23,0.34,-0.23
0,00:09:18.92,0.92,-0.11,0.34,-0.11
0,00:09:18.94,0.46,-0.11,0.46,0.34
0,00:09:18.96,0.57,0,0.8,0.23
0,00:09:18.98,0.69,0,0.69,-0.23
0,00:09:19.00,0.46,-0.23,0.34,0.11
0,00:09:19.02,0.69,-0.23,0.69,-0.11
0,00:09:19.05,0.46,0,0.46,0.11
0,00:09:19.07,0.8,0,1.03,0.11
0,00:09:19.09,0.92,0,0.57,0.23
0,00:09:19.11,0.57,-0.11,1.26,0.23
0,00:09:19.13,0.92,0.11,0.69,-0.11
0,00:09:19.15,0.69,-0.23,0.69,0
0,00:09:19.17,0.46,-0.11,1.15,0
0,00:09:19.19,0.34,-0.23,0.92,0.11
0,00:09:19.22,0.69,-0.11,0.57,0.23
0,00:09:19.24,0.92,0,0.57,-0.11
0,00:09:19.26,0.57,0.11,0.46,0.11
0,00:09:19.28,0.69,-0.34,0.57,-0.11
0,00:09:19.30,0.69,-0.34,0.8,-0.46
0,00:09:19.32,0.69,0,0.92,0
0,00:09:19.34,0.46,-0.23,0.8,-0.34
0,00:09:19.36,0.69,-0.11,1.03,0.23
0,00:09:19.38,0.69,0,0.57,0.11
0,00:09:19.40,0.8,-0.34,0.46,0
0,00:09:19.42,0.34,-0.34,0.46,0
0,00:09:19.45,0.92,-0.23,0.57,-0.23
0,00:09:19.47,0.57,-0.11,0.69,-0.11
0,00:09:19.49,0.8,-0.11,0.92,-0.23
0,00:09:19.51,0.57,0,0.57,0.11
0,00:09:19.53,0.92,-0.11,0.8,0
0,00:09:19.55,0.69,0,0.23,0.34
0,00:09:19.57,0.57,-0.23,0.46,-0.34
0,00:09:19.59,0.69,0.11,0.57,0
0,00:09:19.61,0.8,-0.23,0.46,0.11
0,00:09:19.64,0.57,-0.11,0.46,-0.11
0,00:09:19.66,0.46,-0.34,0.69,0.11
0,00:09:19.68,0.57,-0.11,1.15,0.11
0,00:09:19.70,0.69,-0.11,0.69,0.11
0,00:09:19.72,0.92,-0.11,0.8,0
0,00:09:19.74,0.92,-0.46,0.57,0.34
0,00:09:19.76,0.34,-0.46,0.69,0
0,00:09:19.78,0.69,-0.11,0.46,0.11
0,00:09:19.80,1.03,-0.34,0.46,0.11
0,00:09:19.83,0.69,-0.11,0.69,0.34
0,00:09:19.85,0.57,-0.46,0.34,0.11
0,00:09:19.87,0.69,-0.46,0.8,0
0,00:09:19.89,0.57,-0.23,0.46,0.11
0,00:09:19.91,0.46,-0.23,0.92,0
0,00:09:19.93,0.57,-0.11,0.23,-0.11
0,00:09:19.95,0.57,-0.23,0.46,0.11
0,00:09:19.97,0.92,-0.23,0.8,0.11
0,00:09:19.99,0.57,-0.34,0.57,-1.84
0,00:09:20.01,0.57,-0.11,0.46,0.11
0,00:09:20.03,0.46,-0.23,0.69,0.23
0,00:09:20.06,0.8,-0.23,0.46,0
0,00:09:20.08,0.8,-0.23,0.57,0
0,00:09:20.10,0.57,0,0.46,0.11
0,00:09:20.12,0.69,-0.23,0.23,0.11
0,00:09:20.14,0.92,0,0.46,-0.23
0,00:09:20.16,0.46,-0.23,0.34,-0.34
0,00:09:20.18,0.8,-0.23,0.69,0.11
0,00:09:20.20,0.57,-0.11,0.46,0.11
0,00:09:20.23,0.57,0.23,1.15,0
0,00:09:20.25,0.92,-0.46,0.57,-0.11
0,00:09:20.27,0.69,0.11,0.69,-0.11
0,00:09:20.29,0.69,-0.11,0.57,-0.11
0,00:09:20.31,0.57,0,0.8,-0.23
0,00:09:20.33,0.8,-0.11,0.46,-0.11
0,00:09:20.35,0.92,0,0.69,0.23
0,00:09:20.37,0.8,-0.23,0.69,0.11
0,00:09:20.39,0.69,-0.46,0.92,0
0,00:09:20.41,0.92,0,0.8,0
0,00:09:20.43,0.46,0.34,0.46,0
0,00:09:20.46,0.8,-0.23,0.69,0
0,00:09:20.48,0.8,0.11,0.34,-0.23
0,00:09:20.50,0.57,-0.34,0.34,0
0,00:09:20.52,0.69,-0.11,0.46,0.11
0,00:09:20.54,0.69,-0.34,0.69,-0.23
0,00:09:20.56,0.69,-1.84,0.46,0.34
0,00:09:20.58,0.69,-0.23,0.8,0
0,00:09:20.60,0.46,-0.11,0.57,-0.11
0,00:09:20.62,0.46,-0.23,0.46,0
0,00:09:20.65,0.92,-0.8,0.34,0
0,00:09:20.67,0.69,-0.46,0.69,-0.23
0,00:09:20.69,0.92,-0.57,0.57,-0.11
0,00:09:20.71,0.8,-0.23,0.34,0
0,00:09:20.73,0.57,-0.11,0.46,-0.11
0,00:09:20.75,0.92,-0.11,0.57,-0.11
0,00:09:20.77,0.8,-0.34,0.57,0
0,00:09:20.79,0.8,-0.11,0.46,0.11
0,00:09:20.81,0.23,-0.11,0.92,0
0,00:09:20.83,0.46,-0.23,0.23,-0.23
0,00:09:20.86,0.92,0,0.69,-0.11
0,00:09:20.88,1.03,-0.46,0.46,0
0,00:09:20.90,0.57,-0.23,1.15,0.11
0,00:09:20.92,0.92,0,0.34,0.11
0,00:09:20.94,0.92,-0.23,1.03,0.11
0,00:09:20.96,0.46,-0.23,0.57,0
0,00:09:20.98,0.57,-0.46,0.57,0
0,00:09:21.00,0.46,-0.11,1.03,0.11
0,00:09:21.02,0.46,-0.46,0.23,0.11
0,00:09:21.05,0.34,-0.11,0.46,-0.11
0,00:09:21.07,0.69,0.11,0.57,0.23
0,00:09:21.09,0.57,0,0.57,-0.11
0,00:09:21.11,0.57,0.11,0.57,0
